identifier,display name,last name,first names,viaf record,short description,sources / further info
bh.per.057,Ernie Harrison,Harrison,Ernie,,Staff at School of Music?,
bh.per.058,Don Berry,Berry,Don,,Staff at School of Music?,
bh.per.059,Sgt. Ferris,Ferris,?,,Drill sergeant at ROTC,
bh.per.060,Quick,Quick,?,,W. T. Quick's wife,
bh.per.061,Arthur Westbrook,Westbrook,Arthur,,"Director of School of Music, musician",
bh.per.062,"George ""Potsy"" Clark",Clark,"George ""Potsy""",,"Head football coach, athletic director",
bh.per.063,T. J. Thompson,Thompson,T. J.,,Dean of students,
bh.per.064,Laraine Day,Day,Laraine,,Actress,
bh.per.065,Leo Durocher,Durocher,Leo,,Actor,
bh.per.066,Col. Frankfurter,Frankfurter,?,,ROTC?,
bh.per.067,Bob Devoe,Devoe,Bob,,Board of Regents,
bh.per.068,Long,Long,?,,Board of Regents,
bh.per.069,Harry Pecha,Pecha,Harry,,"Composer of ""No Place""",
bh.per.070,Bud Wilkinson,Wilkinson,Bud,,Athletic Director at Oklahoma,
bh.per.071,George Cross,Cross,George,,President of the University Oklahoma,
bh.per.072,Leonard Haug,Haug,Leonard,,Director of Oklahoma band,
bh.per.073,John Philip Sousa,Sousa,John Philip,,,
bh.per.074,Lentz,Lentz,,,Mother of Don Lentz,
bh.per.075,Nolan Summers,Summers,Nolan,,Master's program and president of band. Went on to American Cyanide,
bh.per.076,Nyquist,Nyquist,,,Student of Lentz,
bh.per.077,John Welch,Welch,John,,"Student of Lentz, surgeon at Mayo Clinic, president of band",
bh.per.078,Dick Faytinger,Faytinger,Dick,,"Student of Lentz, president of band, executive at General Electric",
bh.per.079,George Eagleton,Eagleton,George,,"Student of Lentz, world traveler",
bh.per.080,C. K. Morris,Morris,C. K.,,"Public relations at University, starting recording Coliseum band concerts for radio",
bh.per.081,Velma Lentz,Lentz,Velma,,"Wife of Don Lentz, horse trainer",
bh.per.082,Rose Johnson,Johnson,"Rosemary ""Rose""",,Band staff member,
bh.per.083,Jessica Dussault,Dussault,Jessica,,"Library staff member, interviewer, band member",
bh.per.084,Jan Deaton,Deaton,Jan,,Band staff member,
bh.per.085,John DeStefano,DeStefano,John,,Band staff member,
bh.per.086,Bryan Johnson,Johnson,Bryan,,"Brother to Rosemary Johnson, band member",
bh.per.087,Harvey Perlman,Perlman,Harvey,,Chancellor 2001-2016,
bh.per.088,Tom Osborne,Osborne,Tom,,Football head coach,
bh.per.089,Sister of Rose Johnson,Johnson,,,"Sister to Rose Johnson, colorguard member",
bh.per.090,Grandfather of Rose Johnson,?,?,,"Grandfather to Rose Johnson, played with Don Lentz",
bh.per.091,Robert F. Krejci,Krejci,Robert Frank,,"Band member, dentist",
bh.per.092,Jan Krejci,Krejci,Jan,,Daughter of Robert F. Krejci,
bh.per.093,Mike Wirth,Wirth,Mike,,Grandson of Robert F. Krejci,
bh.per.094,Emmett Wirth,Wirth,Emmett,,Great-grandson of Robert F. Krejci,
bh.per.095,Howe,Howe,?,,"Landlady in Lincoln, NE in mid 20th century",
bh.per.096,Sichacha?,?,?,,Major in WWII,
bh.per.097,Col. Scotch,Scotch,,,Colonel in WWII,
bh.per.098,Col. Gingerly,?,,,Colonel in WWII,
bh.per.099,Grandma Betty?,?,Betty,,"Wife of Robert F. Krejci, telephone operator in WWII",
bh.per.100,Gary Steffens,Steffens,Gary,,"Band member, historian, author of Pride of the Cornhuskers",
bh.per.101,Robert W. Stevens,Stevens,Robert W.,,Pianist and composer of The Cornhuskers song,
bh.per.102,Robert D. Scott,Scott,Robert D.,,"Director of Athletics, creator of Chant",
bh.per.103,Harry Alford,Alford,Harry,,Arranger of Dear Old Nebraska U,
bh.per.104,Rudolf Friml,Friml,Rudolf,,Composer of The Vagabond King,
bh.per.105,Rhompson,Rhompson,?,,Board of Regents,
bh.per.106,William Ackerman,Ackerman,William,,Lyricist Hail Nebraska,
bh.per.107,Col. Gary Lamb,Lamb,Gary,,Conductor of Pershing's Own US Army Band,
bh.per.108,Wilber Chenoweth,Chenoweth,Wilber,,Composer of Hail Varsity,
bh.per.109,W. Joyce Ayres,Ayres,W. Joyce,,Lyricist of Hail Varsity,
bh.per.110,Harry Everett,Everett,Harry,,Cornhusker fan and commissioner of Hail Varsity,
bh.per.111,Charles Miller,Miller,Charles,,Arranger of Hail Varsity,
bh.per.112,Lucius Beebe,Beebe,Lucius,,Railroad author,
bh.per.113,Dr. Kenneth Barger,Barger,Kenneth,,music historian,
bh.per.114,Albert Harding,Harding,Albert,,band director Illinois,
bh.per.115,Paul Emmerick,Emmerick,Paul,,band director Perdue,
bh.per.116,,,,,,
bh.per.117,,,,,,
bh.per.118,,,,,,
bh.per.119,,,,,,
bh.per.120,,,,,,
bh.per.121,,,,,,
bh.per.122,,,,,,
bh.per.123,,,,,,
bh.per.124,,,,,,
bh.per.125,,,,,,
bh.per.126,,,,,,
bh.per.127,,,,,,
bh.per.128,,,,,,
